#,Phase,Area,Step,Why,Org,Owner,Status,Date Completed,Notes
1,Pre-Deploy,LogX Framework,"Enable ""Set Audit Fields upon Record Creation""","Required for LogX's QueueableDeleteLogsTest to compile. The test backdates Log__c.CreatedDate to verify expired logs are purged by QueueableDeleteLogs. Without this org-level setting, CreatedDate is read-only and the class fails to compile, blocking the entire LogX deploy.",univision-production,Salesforce Admin,Done,2026-05-04,"Setup → User Interface → User Interface → checked ""Set Audit Fields upon Record Creation and Update Records with Inactive Owners"" → Saved."
2,Post-Deploy,Preempt Transition (Story 3-008),Grant FLS on new Actual_Revenue__c / Inbound_Staging__c / Preempt_Transition_Log__c fields,"Slice 3-008 added Is_Preempt__c / Preempt_Status__c / Source_Order_Number__c / Calendar_Type__c on Actual_Revenue__c, the same three on Inbound_Staging__c, and the full Preempt_Transition_Log__c object. Apex runs in system mode but UI access (worklists, reports, Setup audits) requires field-level security on the appropriate permission sets — at minimum the Sales Ops / Reconciliation perm sets that already grant the parent objects.",univision-production,Salesforce Admin,Pending,,"Setup → Permission Sets → for each permset that grants Actual_Revenue__c/Inbound_Staging__c access: Object Settings → enable Read/Edit on the new fields. Add full CRUD on Preempt_Transition_Log__c to the Sales Ops Console / Reconciliation Operator permsets."
3,Post-Deploy,Forecast Stage Lifecycle (Story 3-009),Grant FLS on Projection__c.Forecast_Stage__c and CRUD on Forecast_Stage_Snapshot__c,"Slice 3-009 added Forecast_Stage__c (Stage 0–5/Booked/NA) on Projection__c and a child Forecast_Stage_Snapshot__c object with weekly snapshots. AEs need Read/Edit on Forecast_Stage__c via the AE perm set; Sales Ops + Finance need Read on Forecast_Stage_Snapshot__c for forecast accuracy reporting.",univision-production,Salesforce Admin,Pending,,"Setup → Permission Sets → AE / Sales Manager perm sets: enable Read/Edit on Projection__c.Forecast_Stage__c. Sales Ops Console / Finance perm sets: enable Read on Forecast_Stage_Snapshot__c (auto-cascades from master)."
4,Post-Deploy,Forecast Stage Lifecycle (Story 3-009),Assign System_Budget_Lock_Bypass custom permission to Finance/Sales-Ops admin perm set,"3-009 blocks illegal Forecast_Stage__c regression (e.g., Stage 3 → Stage 1) at the trigger handler. Holders of System_Budget_Lock_Bypass can override for corrections. Reserve to a Finance/Sales-Ops admin perm set — should NOT be on the AE perm set.",univision-production,Salesforce Admin,Pending,,"Setup → Permission Sets → Finance Admin (or equivalent) → Custom Permissions → enable System_Budget_Lock_Bypass. Confirm AE perm set does NOT grant it."
5,Post-Deploy,Forecast Stage Lifecycle (Story 3-009),Schedule the weekly Forecast Stage Snapshot job,"3-009 deploys the ForecastStageSnapshotScheduler class but the cron job itself is not registered automatically. Run System.schedule via anonymous Apex once — Sundays 23:59 in org TZ (America/New_York for this org).",univision-production,Salesforce Admin,Pending,,"Developer Console → Open Execute Anonymous → run: ForecastStageSnapshotScheduler.schedule();  — verifies via ForecastStageSnapshotScheduler.isScheduled() and getNextFireTime()."
6,Pre-Deploy,Demo Prep 5/5 - Sales Outlook Redesign,Bulk-update existing Opportunities to new StageName values,"Slice I deactivates 6 legacy stages (Working/Pitched/Committed/Booked/Draft/Prospecting). Any open Opps still on those stages must be migrated first. univision-production DE org has no real data; required only when promoting to sandboxes/prod. Mapping: Draft/Prospecting → Stage 1 - Lead; Working → Stage 3 - Pipeline/Deal; Pitched → Stage 4 - Negotiation; Committed/Booked → Stage 5 - Contract Pending.",univision-production,Salesforce Admin,Pending,,"Data Loader: SELECT Id, StageName FROM Opportunity WHERE StageName IN ('Working','Pitched','Committed','Booked','Draft','Prospecting'); update with new value per mapping above; verify no rows remain."
7,Pre-Deploy,Demo Prep 5/5 - Sales Outlook Redesign,Bulk-update existing Opportunities off the 3 retired RecordTypes,"Slice I deactivates Agency_Buy/Direct_Buy/Local_Ad_Sales RTs. Any Opp still using them needs RT reassignment to one of the 7 channel RTs (TV_Linear/Digital/Radio_Linear/TV_Affiliates/Radio_Network/TV_Border_Stations/Radio_Digital). univision-production DE has no data.",univision-production,Salesforce Admin,Pending,,"Default rule: Agency_Buy/Direct_Buy → TV_Linear (most common channel); Local_Ad_Sales → TV_Linear. Confirm with stakeholders before bulk update for prod."
8,Post-Deploy,Demo Prep 5/5 - Sales Outlook Redesign,Configure Kanban color-coding per stage,"The Pipeline_Kanban list view auto-renders as a Kanban board but stage colors must be set in Setup UI. Recommend: Stage 1 - Lead = gray, Stage 2 - Discovery/CNA = light blue, Stage 3 - Pipeline/Deal = blue, Stage 4 - Negotiation = orange, Stage 5 - Contract Pending = green, Closed Won = dark green, Closed Lost = red.",univision-production,Salesforce Admin,Pending,,"Open Opportunity tab → Pipeline Kanban list view → click 'Display As: Kanban' → click ⚙ → set colors per stage. Save."
9,Post-Deploy,Demo Prep 5/5 - Sales Outlook Redesign,Resolve TV Border Stations + Radio - Digital source-system mapping,"2 of the 7 channel RTs have unknown source-system filters. Reconciliation engine cannot route inbound actuals to them until resolved. Open questions logged in memory file project_open_questions.md.",univision-production,Sales Ops Lead,Pending,,"Confirm with stakeholders: which property/file isolates TV Border Stations (likely WO_TV filtered to border-region call letters); is Radio - Digital streaming audio via Operative or a separate stream. Update reconciliation rules + RT descriptions once resolved."
10,Post-Deploy,Demo Prep 5/5 - Sales Outlook Redesign,Add Last_Year_Amount__c data path for Sales Outlook LY$ column,"Sales Outlook dashboard ships without LY$ and % Change columns because Actual_Revenue__c has no Opportunity__c lookup. Resolution options: (a) add Opportunity__c lookup on Actual_Revenue__c + repoint reconciliation engine, (b) add a manual Last_Year_Amount__c currency field on Opportunity that Finance enters once per year. Pick one before next forecast cycle.",univision-production,Sales Ops Lead,Pending,,"Recommend option (a) for accuracy; defer to data-model slice. Reports/MediaCloud/Sales_Outlook_Matrix can be extended once chosen."
